name,html_url,description,language,stars,forks,created_at,updated_at
awesome-computational-social-science,https://github.com/gesiscss/awesome-computational-social-science,A list of awesome resources for Computational Social Science,R,797,93,2023-01-19T20:03:03Z,2025-12-15T19:43:39Z
M4-methods,https://github.com/Mcompetitions/M4-methods,"Data, Benchmarks, and methods submitted to the M4 forecasting competition",R,795,319,2017-12-21T12:33:03Z,2025-12-09T07:10:45Z
MoRad,https://github.com/hyu020/MoRad,,R,793,72,2021-09-30T12:06:22Z,2025-12-17T15:15:28Z
tidyexplain,https://github.com/gadenbuie/tidyexplain,"🤹‍♀ Animations of tidyverse verbs using R, the tidyverse, and gganimate",R,792,213,2018-08-15T18:29:46Z,2025-12-06T18:55:24Z
htmlwidgets,https://github.com/ramnathv/htmlwidgets,HTML Widgets for R,R,792,208,2014-07-17T20:49:59Z,2025-12-06T06:39:22Z
hexSticker,https://github.com/GuangchuangYu/hexSticker,:sparkles: Hexagon sticker in R,R,788,178,2017-03-13T03:23:54Z,2025-12-06T06:39:20Z
rtweet,https://github.com/ropensci-archive/rtweet,🐦 R client for interacting with Twitter's [stream and REST] APIs,R,785,197,2016-07-25T19:16:45Z,2025-12-06T06:39:19Z
waffle,https://github.com/hrbrmstr/waffle,:maple_leaf: Make waffle (square pie) charts in R,R,784,96,2015-03-18T19:48:47Z,2025-11-28T02:10:11Z
googlesheets,https://github.com/jennybc/googlesheets,Google Spreadsheets R API,R,783,189,2014-10-24T04:47:51Z,2025-12-07T20:09:23Z
ggmap,https://github.com/dkahle/ggmap,A package for plotting maps in R with ggplot2,R,777,237,2011-11-29T17:14:54Z,2025-12-06T06:39:18Z
lubridate,https://github.com/tidyverse/lubridate,Make working with dates in R just that little bit easier,R,774,214,2009-03-11T01:18:52Z,2025-12-16T15:54:22Z
engsoccerdata,https://github.com/jalapic/engsoccerdata,English and European soccer results 1871-2022,R,772,190,2014-08-01T20:03:48Z,2025-12-14T18:48:52Z
styler,https://github.com/r-lib/styler,Non-invasive pretty printing of R code,R,769,71,2017-02-08T19:16:37Z,2025-12-06T06:39:16Z
infer,https://github.com/tidymodels/infer,An R package for tidyverse-friendly statistical inference,R,767,83,2017-06-05T17:41:42Z,2025-12-12T23:21:51Z
scRNA-seq_notes,https://github.com/mdozmorov/scRNA-seq_notes,A list of scRNA-seq analysis tools,R,760,169,2018-08-30T01:59:19Z,2025-12-08T20:35:05Z
pkgdown,https://github.com/r-lib/pkgdown,Generate static html documentation for an R package,R,757,339,2012-03-15T00:36:24Z,2025-12-17T11:41:29Z
opencpu,https://github.com/opencpu/opencpu,OpenCPU system for embedded scientific computation and reproducible research,R,755,127,2013-05-21T21:45:12Z,2025-11-02T12:03:30Z
rgee,https://github.com/r-spatial/rgee,Google Earth Engine for R,R,752,158,2019-09-03T05:38:52Z,2025-12-12T00:01:51Z
R,https://github.com/dmpe/R,Exercises (incl. analyses) with R language (math+statistics),R,752,383,2013-03-02T15:04:10Z,2025-12-16T19:00:36Z
CellChat,https://github.com/sqjin/CellChat,"R toolkit for inference, visualization and analysis of cell-cell communication from single-cell data",R,751,166,2020-04-27T06:28:33Z,2025-12-15T12:58:12Z
datasets,https://github.com/selva86/datasets,A collection of datasets of ML problem solving,R,751,1935,2015-12-03T05:24:31Z,2025-12-15T05:36:04Z
tidytuesday,https://github.com/gkaramanis/tidytuesday,Code and plots for submissions to the #tidytuesday challenge,R,750,113,2019-03-06T14:11:15Z,2025-12-15T08:25:12Z
shinyjs,https://github.com/daattali/shinyjs,💡 Easily improve the user experience of your Shiny apps in seconds,R,748,118,2015-01-26T03:42:36Z,2025-12-06T09:52:01Z
cowplot,https://github.com/wilkelab/cowplot,cowplot: Streamlined Plot Theme and Plot Annotations for ggplot2,R,748,84,2014-10-05T16:34:22Z,2025-12-15T03:26:07Z
