name,html_url,description,language,stars,forks,created_at,updated_at
gradio,https://github.com/gradio-app/gradio,"Build and share delightful machine learning apps, all in Python. 🌟 Star to support our work!",Python,40978,3197,2018-12-19T08:24:04Z,2025-12-17T16:00:23Z
pure-bash-bible,https://github.com/dylanaraps/pure-bash-bible,📖 A collection of pure bash alternatives to external processes.,Shell,40906,3610,2018-06-13T01:39:33Z,2025-12-17T07:38:23Z
vuetify,https://github.com/vuetifyjs/vuetify,🐉 Vue Component Framework,TypeScript,40854,7140,2016-09-12T00:39:35Z,2025-12-17T15:10:47Z
pandoc,https://github.com/jgm/pandoc,Universal markup converter,Haskell,40853,3714,2010-03-20T20:34:23Z,2025-12-17T15:11:01Z
fd,https://github.com/sharkdp/fd,"A simple, fast and user-friendly alternative to 'find'",Rust,40848,958,2017-05-09T21:27:10Z,2025-12-17T13:58:27Z
Files,https://github.com/files-community/Files,A modern file manager that helps users organize their files and folders.,C#,40770,2548,2019-01-04T18:19:14Z,2025-12-17T16:42:38Z
fastlane,https://github.com/fastlane/fastlane,🚀 The easiest way to automate building and releasing your iOS and Android apps,Ruby,40765,5967,2014-12-02T17:00:38Z,2025-12-17T15:07:06Z
English-level-up-tips,https://github.com/byoungd/English-level-up-tips,An advanced guide to learn English which might benefit you a lot 🎉 .  离谱的英语学习指南/英语学习教程/英语学习/学英语,HTML,40744,4347,2017-05-30T07:18:52Z,2025-12-17T15:54:31Z
Umi-OCR,https://github.com/hiroi-sora/Umi-OCR,"OCR software, free and offline. 开源、免费的离线OCR软件。支持截屏/批量导入图片，PDF文档识别，排除水印/页眉页脚，扫描/生成二维码。内置多国语言库。",Python,40708,4031,2022-03-28T04:01:46Z,2025-12-17T15:14:21Z
plane,https://github.com/makeplane/plane,"🔥 🔥 🔥 Open Source JIRA, Linear, Monday, and Asana Alternative. Plane helps you track your issues, epics, and cycles the easiest way on the planet.",TypeScript,40651,2992,2022-11-19T12:55:01Z,2025-12-17T16:41:13Z
cheat.sh,https://github.com/chubin/cheat.sh,the only cheat sheet you need,Python,40582,1892,2017-05-07T21:40:56Z,2025-12-17T12:13:36Z
tabler,https://github.com/tabler/tabler,Tabler is free and open-source HTML Dashboard UI Kit built on Bootstrap,HTML,40514,4315,2018-02-01T09:08:59Z,2025-12-17T16:14:00Z
RSSHub,https://github.com/DIYgod/RSSHub,🧡 Everything is RSSible,TypeScript,40499,8869,2018-04-02T14:43:21Z,2025-12-17T14:14:10Z
ray,https://github.com/ray-project/ray,Ray is an AI compute engine. Ray consists of a core distributed runtime and a set of AI Libraries for accelerating ML workloads.,Python,40371,7014,2016-10-25T19:38:30Z,2025-12-17T16:06:37Z
MediaCrawler,https://github.com/NanmiCoder/MediaCrawler,小红书笔记 | 评论爬虫、抖音视频 | 评论爬虫、快手视频 | 评论爬虫、B 站视频 ｜ 评论爬虫、微博帖子 ｜ 评论爬虫、百度贴吧帖子 ｜ 百度贴吧评论回复爬虫  | 知乎问答文章｜评论爬虫,Python,40300,9074,2023-06-09T12:14:34Z,2025-12-17T15:00:30Z
WeChatMsg,https://github.com/LC044/WeChatMsg,,,40240,4600,2023-01-11T05:03:49Z,2025-12-17T14:09:27Z
50projects50days,https://github.com/bradtraversy/50projects50days,"50+ mini web projects using HTML, CSS & JS",CSS,40240,9740,2020-11-16T14:39:01Z,2025-12-17T14:26:46Z
ccxt,https://github.com/ccxt/ccxt,A cryptocurrency trading API with more than 100 exchanges in JavaScript / TypeScript / Python / C# / PHP / Go ,Python,40231,8418,2017-05-14T15:41:56Z,2025-12-17T15:50:53Z
curl,https://github.com/curl/curl,"A command line tool and library for transferring data with URL syntax, supporting DICT, FILE, FTP, FTPS, GOPHER, GOPHERS, HTTP, HTTPS, IMAP, IMAPS, LDAP, LDAPS, MQTT, POP3, POP3S, RTMP, RTMPS, RTSP, SCP, SFTP, SMB, SMBS, SMTP, SMTPS, TELNET, TFTP, WS and WSS. libcurl offers a myriad of powerful features",C,40173,6991,2010-03-18T22:32:22Z,2025-12-17T14:45:46Z
LocalAI,https://github.com/mudler/LocalAI,":robot: The free, Open Source alternative to OpenAI, Claude and others. Self-hosted and local-first. Drop-in replacement for OpenAI,  running on consumer-grade hardware. No GPU required. Runs gguf, transformers, diffusers and many more. Features: Generate Text, MCP, Audio, Video, Images, Voice Cloning, Distributed, P2P and decentralized inference",Go,40171,3221,2023-03-18T22:58:02Z,2025-12-17T15:39:17Z
tmux,https://github.com/tmux/tmux,tmux source code,C,40170,2342,2015-06-03T23:32:55Z,2025-12-17T16:42:35Z
chatgpt-on-wechat,https://github.com/zhayujie/chatgpt-on-wechat,基于大模型搭建的聊天机器人，同时支持 微信公众号、企业微信应用、飞书、钉钉 等接入，可选择ChatGPT/Claude/DeepSeek/文心一言/讯飞星火/通义千问/ Gemini/GLM-4/Kimi/LinkAI，能处理文本、语音和图片，访问操作系统和互联网，支持基于自有知识库进行定制企业智能客服。,Python,40158,9565,2022-08-07T08:33:41Z,2025-12-17T16:04:24Z
chakra-ui,https://github.com/chakra-ui/chakra-ui,Chakra UI is a component system for building SaaS products with speed ⚡️,TypeScript,40064,3550,2019-08-17T14:27:54Z,2025-12-17T15:31:27Z
full-stack-fastapi-template,https://github.com/fastapi/full-stack-fastapi-template,"Full stack, modern web application template. Using FastAPI, React, SQLModel, PostgreSQL, Docker, GitHub Actions, automatic HTTPS and more.",TypeScript,40007,7770,2019-02-23T15:08:34Z,2025-12-17T16:49:29Z
zju-icicles,https://github.com/QSCTech/zju-icicles,浙江大学课程攻略共享计划,HTML,39938,9597,2016-06-28T16:17:32Z,2025-12-17T14:31:52Z
wrk,https://github.com/wg/wrk,Modern HTTP benchmarking tool,C,39903,3033,2012-03-20T11:12:28Z,2025-12-17T10:30:28Z
siyuan,https://github.com/siyuan-note/siyuan,"A privacy-first, self-hosted, fully open source personal knowledge management software, written in typescript and golang.",TypeScript,39858,2469,2020-08-30T09:21:35Z,2025-12-17T16:44:15Z
logseq,https://github.com/logseq/logseq,"A privacy-first, open-source platform for knowledge management and collaboration. Download link:  http://github.com/logseq/logseq/releases. roadmap: https://discuss.logseq.com/t/logseq-product-roadmap/34267",Clojure,39840,2395,2020-05-23T00:06:06Z,2025-12-17T16:39:00Z
remote-jobs,https://github.com/remoteintech/remote-jobs,A list of semi to fully remote-friendly companies (jobs) in tech.,JavaScript,39782,3912,2015-10-13T03:49:25Z,2025-12-17T15:20:12Z
jan,https://github.com/janhq/jan,Jan is an open source alternative to ChatGPT that runs 100% offline on your computer.,TypeScript,39752,2441,2023-08-17T02:17:10Z,2025-12-17T16:48:42Z
